Game No,Sanjay,thamarmo,Abhishek,Shishtaouk,NipPincher,Diraj,SugaDaddy,Spartan,Ship,BlackNite,Chigster
1,1,2,4,3,,,,,,,
2,2,,1,,,,,,,,
3,1,,2,,,,,,,,
4,1,4,3,2,,,,,,,
5,,4,2,1,3,,,,,,
6,4,1,2,,,,,,,,
7,1,2,4,3,,,,,,,
8,4,1,2,,,,,,,,
9,,2,3,1,4,,,,,,
10,,4,,1,3,,,2,,,
11,4,3,1,,,,,2,,,
12,4,1,3,,,,,,,,
13,1,2,3,,,,,,,,
14,2,1,4,,,,,3,,,
15,4,,1,,3,,,2,,,
16,,,1,,4,,3,2,,,
17,4,,1,3,,2,,,,,
18,3,1,2,,,,4,,,,
19,,,1,,2,4,,3,,,
20,1,2,4,,,,,3,,,
21,4,2,3,,,1,,,,,
22,1,,2,,,4,3,,,,
23,3,,2,,4,,,1,,,
24,2,,1,,,3,4,,,,
25,,,,,2,4,3,1,,,
26,2,,4,,,,3,1,,,
27,1,4,2,,,,,3,,,
28,4,,1,,,3,2,,,,
29,2,,4,,,,,1,3,,
30,4,,3,,,2,1,,,,
31,3,2,4,,,,1,,,,
32,1,,2,,,3,4,,,,
33,,,,,,3,1,2,,,
34,,,,,,3,2,1,,,
35,3,4,1,,,2,,,,,
36,,,,,,3,1,2,,,
37,3,,4,,,,,1,,2,
38,1,,,,4,,1,2,,,
39,4,,1,,,,3,,,,2
40,1,,2,,,3,4,,,,
41,3,,,,1,,,2,,4,
42,3,,1,,,,,4,,2,
